,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities
0,angemessen,0.3809,lernen,0.3233,fhigkeiten,0.39,menschen,0.1905
1,fhigkeiten,0.3311,menschen,0.2144,lernen,0.2588,beschreiben,0.176
2,gegenber,0.2713,handelns,0.167,angemessen,0.208,eigene,0.1607
3,knnen,0.2097,beschreiben,0.1636,handelns,0.2006,knnen,0.1582
4,menschen,0.1572,knnen,0.0953,gegenber,0.1481,lernen,0.1192
5,,0.0,eigene,0.0935,eigene,0.1123,gegenber,0.1004
6,,0.0,,0.0,beschreiben,0.0983,handelns,0.0756
7,,0.0,,0.0,,0.0,angemessen,0.0383
8,,0.0,,0.0,,0.0,fhigkeiten,0.0318
9,,0.0,,0.0,,0.0,,0.0
10,,0.0,,0.0,,0.0,,0.0
11,,0.0,,0.0,,0.0,,0.0
12,,0.0,,0.0,,0.0,,0.0
13,,0.0,,0.0,,0.0,,0.0
14,,0.0,,0.0,,0.0,,0.0
15,,0.0,,0.0,,0.0,,0.0
16,,0.0,,0.0,,0.0,,0.0
17,,0.0,,0.0,,0.0,,0.0
18,,0.0,,0.0,,0.0,,0.0
19,,0.0,,0.0,,0.0,,0.0
