,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities
0,beschreiben,0.1996,historische,0.3999,rolle,0.1987,beschreiben,0.0841,klischees,0.1337,vorurteil,0.1842
1,mobbing,0.1739,eigene,0.3004,gegenber,0.1577,wahrnehmung,0.0841,stereotypen klischees,0.1205,urteil,0.176
2,vergleichen,0.1709,wertvorstellungen,0.2274,weltanschauung,0.1309,knnen,0.079,formen vorurteilen,0.119,mensch,0.1364
3,vorurteile klischees,0.092,gegenwart,0.2125,mobbing,0.1295,analysieren,0.0784,vorurteilen stereotypen,0.119,ursachen,0.1318
4,eigenschaften,0.0916,begrndete,0.2061,sucht,0.1105,toleranz,0.0667,btv formen,0.1176,werteorientierung,0.1175
5,klischees,0.0885,auswirkungen,0.1902,menschenrechte,0.1084,erlutern,0.0561,stereotypen,0.1123,urteil vorurteil,0.1088
6,diskutieren,0.0814,orientierungskompetenz,0.1735,vorstellungen,0.1084,erkennen,0.0524,btv,0.1093,abbau,0.0958
7,mgliche,0.0795,beurteilen,0.1631,eigenschaften,0.1065,eigene,0.052,bne,0.0596,abbau vorurteilen,0.09
8,etc,0.0758,hilfe,0.16,setzen,0.1048,kompetenzen,0.0514,vorurteile klischees,0.0481,geschichte,0.0844
9,prfen,0.069,knnen,0.1368,mensch,0.1038,umgang,0.049,rolle,0.0444,gegebenenfalls,0.0751
10,ethnische,0.0665,beispielen,0.1318,diskutieren mglichkeiten,0.1031,kulturen,0.0455,prfen,0.0422,vorurteil mensch,0.0712
11,bezogen,0.0627,denen,0.0911,auseinander,0.1016,ursachen,0.0439,zusammenhang,0.0415,unterscheidung,0.0695
12,beispiele,0.0627,fremde,0.0815,orientierung,0.1016,zusammenlebens,0.0431,beispiele,0.041,gesellschaftliche,0.0666
13,interessen,0.0554,verstehen,0.0761,vorurteil,0.1007,beispielen,0.0429,toleranz,0.0394,deutschland,0.0641
14,temperament,0.0484,einzelner,0.0363,diskutieren,0.0909,beispiel,0.0422,gngige vorurteile,0.0381,sollen,0.0591
15,folge,0.0475,flucht,0.0363,erkennen,0.0865,diskutieren,0.0421,gngige,0.0381,beispiel,0.0549
16,gngige,0.0466,vorurteilen gegenber,0.0363,gegenwart,0.0768,religionen,0.0417,folgen vorurteilen,0.0374,fremde,0.0544
17,gngige vorurteile,0.0466,vorgegebenen,0.0347,spannungsfeld,0.0762,geschichte,0.0411,unkenntnis,0.0374,historische,0.0534
18,kleidung,0.0466,umgangs,0.0347,identitt,0.0705,handeln,0.0407,ausgrenzung,0.0374,begrndete,0.0516
19,unkenntnis,0.0458,gestaltung,0.0347,toleranz,0.0661,bedeutung,0.0393,erlutern,0.0364,verantwortung,0.0487
