,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities
0,dtn,0.1503,gott,0.5274,gen gen,0.1076,gottes,0.222,beschreiben,0.1713
1,ggf,0.0952,gottes,0.2876,dtn,0.0928,bibel,0.2081,bedeutung,0.141
2,gen gen,0.0872,berufung,0.211,berufung awraham,0.0788,naturwissenschaft,0.1476,inhalte,0.1139
3,christentum,0.0851,erkennen,0.1979,lev gen,0.076,biblische,0.1235,lebens,0.1055
4,leben,0.085,biblische,0.18,bindung jizchaks,0.076,jes,0.1122,kompetenzerwartungen,0.0942
5,berufung,0.0803,kompetenzerwartungen,0.171,awraham,0.076,verantwortung,0.106,grundlage,0.0913
6,lev gen,0.0616,jes,0.1454,gen bindung,0.076,schpfung,0.0997,ber,0.0851
7,stammbaum,0.0602,grenzen,0.1267,bindung,0.076,gen gen,0.0982,kompetenzen,0.0842
8,leben jaakows,0.0596,glaube,0.0856,awraham gen,0.076,inhalte kompetenzen,0.0936,grenzen,0.075
9,gen erstgeburtsrecht,0.0596,sam,0.0802,stammbaum,0.0743,grenzberschreitungen,0.0825,lernbereich,0.0729
10,gen lev,0.0596,ber,0.0773,traum,0.0736,kreationismus,0.081,umgang,0.0558
11,gen leben,0.0596,gottes gen,0.0761,namensgebung,0.0736,gottes gen,0.0783,mensch,0.0539
12,erstgeburtsrecht gen,0.0596,geschpf gottes,0.0749,jaakows brderstreit,0.0736,mensch geschpf,0.077,erkennen,0.0505
13,gen segen,0.0596,mensch geschpf,0.0749,erstgeburtsrecht gen,0.0736,geschpf gottes,0.077,eigene,0.0486
14,gen traum,0.0596,christliche,0.0727,brderstreit gen,0.0736,religion,0.0759,inhalte kompetenzen,0.0454
15,jizchaks gen,0.0596,erfahrungen,0.0698,brderstreit,0.0736,theorien,0.0738,verantwortung,0.042
16,jaakows brderstreit,0.0596,geschpf,0.069,kampf namensgebung,0.0736,mensch,0.0729,vergleich,0.0411
17,kampf namensgebung,0.0596,schpfung,0.0646,leben jaakows,0.0736,kompetenzen,0.072,leben,0.0389
18,erstgeburtsrecht,0.0596,welt,0.06,segen gen,0.0736,christentum,0.0719,ggf,0.0372
19,traum kampf,0.0596,ggf,0.0521,gen leben,0.0736,geschpf,0.071,ethische,0.034
