,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities
0,stunden,0.0272,nische,0.052
1,demokratie,0.0245,parasitismus,0.0505
2,methodenkompetenz,0.0189,symbiose,0.0467
3,konflikte,0.0159,kologische nische,0.0436
4,ffentlichkeit,0.0159,interspezifische,0.0421
5,beurteilungskompetenz,0.0159,faktoren,0.0405
6,normen,0.0149,arten,0.0295
7,auswirkungen,0.0149,interspezifische beziehungen,0.0295
8,konomische,0.0138,beziehungen konkurrenz,0.0295
9,sozialen,0.0138,parasitismus symbiose,0.0286
10,kooperation,0.0138,organismen,0.0277
11,politische,0.0138,intra,0.0268
12,marktprozesse,0.0138,ruberbeutebeziehung,0.0259
13,unterschiedlichen,0.0128,angepasstheit,0.0259
14,systeme,0.0117,kologische potenz,0.0259
15,hauptphase,0.0106,potenz,0.0259
16,markt,0.0106,ruberbeutebeziehungen,0.025
17,polypol,0.0106,biotische,0.025
18,hilfsbereitschaft,0.0106,intra interspezifische,0.0241
19,herausbildung,0.0106,konkurrenz parasitismus,0.0241
