,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities,Topic 7 terms,Topic 7 probabilities,Topic 8 terms,Topic 8 probabilities
0,kritisch,0.084,juden,0.1452,klischees,0.0986,gruppen,0.108,kulturelle,0.1122,wahrnehmung,0.0985,hinblick,0.0592,toleranz,0.1425,integration,0.2304,reflektieren,0.0636
1,historische,0.0821,formen vorurteilen,0.1101,formen,0.072,beispiel,0.1037,sprache,0.0907,urteil,0.0975,analysieren,0.0589,respekt,0.1406,gesellschaft,0.1606,auseinandersetzung,0.0586
2,vergleichen,0.0719,btv formen,0.1088,medien,0.068,grundlegende,0.057,mglichkeiten,0.0899,vorurteil,0.0804,kulturen,0.0552,religionen,0.1377,diskutieren,0.1309,fhigkeit,0.0568
3,eigenen,0.0619,btv,0.1049,mobbing,0.0645,mglichkeiten,0.0534,identitt,0.0891,analysieren,0.0708,sozialer,0.0552,handeln,0.1224,geschichte,0.1217,bewusst,0.0521
4,einstellungen,0.0619,stereotypen klischees,0.1034,rolle,0.0621,auseinandersetzen,0.0529,wirkung,0.0861,entstehung,0.0657,politischen,0.0549,kompetenzen,0.0957,politik,0.1131,schlern,0.0518
5,hinterfragen,0.061,vorurteilen stereotypen,0.1022,vorurteile klischees,0.0615,verhalten,0.0515,kulturen,0.0849,mensch,0.0618,probleme,0.0475,vorurteil,0.089,grundlage,0.104,diskriminierungen,0.0507
6,eigene,0.0592,stereotypen,0.0966,stereotypen klischees,0.0558,motivation,0.0513,nehmen,0.0823,werteorientierung,0.0579,kompetenzerwartungen,0.0473,ethik,0.0743,eigene,0.1033,fach,0.0463
7,gefhle,0.0582,formen,0.0926,formen vorurteilen,0.0552,soziale,0.0496,zusammenhnge,0.0764,lernen,0.0557,denkens,0.0459,sollen,0.0713,zeigen,0.1021,unterschiedlichen,0.042
8,kritisch hinterfragen,0.052,klischees,0.0839,vorurteilen stereotypen,0.0552,gefhle,0.0494,aspekte,0.0718,begrnden,0.049,rassismus,0.0422,werte,0.0703,errtern,0.0987,eigene,0.0415
9,wertvorstellungen,0.044,deutschland,0.0663,btv formen,0.0545,vorurteilen mglichkeiten,0.0487,eigenschaften,0.0718,wissen,0.0487,gesellschaftlichen,0.0402,werte normen,0.0626,nehmen,0.0901,kritischen,0.0411
10,gegenwrtige,0.0432,bne,0.0629,stereotypen,0.0521,benennen,0.047,verschiedene,0.0699,abbau,0.0483,gegenber,0.0373,respekt toleranz,0.0626,minderheiten,0.0721,wirklichkeit,0.0388
11,mgliche,0.0416,bedeutung,0.0589,liebe,0.0517,vernderung,0.0466,ursachen,0.069,abbau vorurteilen,0.0474,reflektieren,0.0371,miteinander,0.0589,staat,0.066,notwendigkeit,0.0388
12,gegenwart,0.0405,menschenrechte,0.0535,btv,0.0508,einstellungen,0.046,verstndigung,0.0645,erlutern,0.0468,stereotypen,0.0365,kompetenzbereich,0.058,gestalten,0.066,fhren,0.0388
13,kennenlernen,0.04,inhalte,0.0535,soziale,0.0484,berprfen,0.0456,formen,0.0609,methodenkompetenz,0.0453,unterschiedlichen,0.0364,konflikte,0.0578,deutschland,0.0648,klischees,0.0388
14,reflektieren,0.0364,gesellschaftliche,0.0507,inklusion,0.0446,fhigkeit,0.0456,bildung,0.0588,geschichte,0.0432,effekte sozialer,0.0353,normen,0.0559,teilhabe,0.0635,wege,0.0379
15,zusammenhnge,0.0363,bewerten,0.0477,bezogen,0.0441,beurteilen,0.0455,kulturellen,0.0538,untersuchen,0.0425,konformittsdenken,0.0353,mgliche,0.0553,vorurteile diskriminierungen,0.0614,interkulturellen,0.037
16,beschreiben reflektieren,0.0352,denken,0.0421,folgen vorurteilen,0.0422,einzelne,0.0426,gehen,0.0503,medien,0.0421,haloeffekte konformittsdenken,0.0353,informationen,0.051,erkenntnisse,0.0596,interreligisen,0.037
17,bewerten,0.0348,erlutern,0.0393,beispiele,0.041,zeit,0.041,medialen,0.0503,ursachen,0.0392,vorurteile haloeffekte,0.0353,kulturen,0.0474,hintergrund,0.0596,erweitern,0.0362
18,begrndete,0.0347,geschichte,0.0352,gngige vorurteile,0.0408,vorurteilen stereotypen,0.0409,wirkung vorurteilen,0.0503,deren,0.0388,haloeffekte,0.0353,fragen,0.0466,motivation,0.0596,vielfalt,0.0355
19,wissen,0.0344,sollen,0.0351,toleranz,0.0401,diskussion,0.0397,umzugehen,0.0484,begrndete,0.0382,konformittsdenken beschreiben,0.0353,migration,0.0459,wert,0.058,miteinander,0.0348
