,Search concept,Count
0,Mensch,4852
1,Handeln,3849
2,Wert,2135
3,Kultur,1466
4,Gerechtigkeit,1343
5,Ursache,1277
6,Moral,1264
7,Freiheit,1236
8,Verhalten,1155
9,Norm,1134
10,Evolution,1085
11,Gen,991
12,Anpassung,738
13,Glück,661
14,Bedürfnis,640
15,Kooperation,569
16,Gefühl,354
17,Anthropologie,312
18,Vorurteil,285
19,Rationalität,279
20,Konkurrenz,268
21,Emotion,267
22,Perspektivwechsel,185
23,Transfer,160
24,Empathie,152
25,Rassismus,135
26,Konsumverhalten,109
27,Handlungsfähigkeit,109
28,ultimat,106
29,wertorientiert,104
30,proximat,100
31,Kosten-Nutzen,89
32,Nische,86
33,Diskriminierung,70
34,Abstraktion,64
35,kulturelle Evolution,43
36,Reflex,39
37,Altruismus,39
38,Intuition,38
39,Öffentliches Gut,38
40,Sozialverhalten,38
41,Steinzeit,37
42,Fremdenfeindlichkeit,33
43,Fehlschluss,31
44,Hedonismus,29
45,soziales Lernen,28
46,Konditionierung,27
47,Verhaltensökonomie,26
48,Prosozialität,26
49,Resilienz,26
50,Spiralcurriculum,23
51,Jäger,20
52,Sammler,15
53,Eudämonia,15
54,kulturelle Entwicklung,14
55,Verhaltensökologie,14
56,Spieltheorie,14
57,Verhaltensbiologie,13
58,Wohlbefinden,12
59,Homo sapiens,12
60,soziale Norm,12
61,kognitive Verzerrung,8
62,Allmende,7
63,konzeptuelles Lernen,7
64,Ethnozentrismus,6
65,Anpassungsfähigkeit,5
66,Wir-Gefühl,4
67,RationalitÃ¤t,4
68,soziales Dilemma,4
69,EudÃ¤monia,1
70,Tinbergen,1
71,Fehlanpassung,1
72,AnpassungsfÃ¤higkeit,0
73,Auszahlungsmatrix,0
74,BedÃ¼rfnis,0
75,GefÃ¼hl,0
76,Gerechtigkeitssinn,0
77,GlÃ¼ck,0
78,HandlungsfÃ¤higkeit,0
79,JÃ¤ger,0
80,Multilevel-Selektion,0
81,Nischenkonstruktion,0
82,Nudge,0
83,Ã–ffentliches Gut,0
84,ProsozialitÃ¤t,0
85,VerhaltensÃ¶kologie,0
86,VerhaltensÃ¶konomie,0
87,Wir-GefÃ¼hl,0
